l2_regularization,learning_rate,loss,max_depth,max_iter,min_samples_leaf,quantile,score
0,0.3,quantile,15,200,50,0.5,-10.226620539490778
0,0.3,quantile,15,200,50,0.6,-10.070306525243183
0,0.3,quantile,15,200,50,0.7,-10.378591287063733
0,0.3,quantile,15,200,50,0.8,-10.97939097001924
0,0.3,quantile,15,200,50,0.9,-13.435607330406393
0,0.3,quantile,15,200,10,0.1,-14.181604391982386
0,0.3,quantile,15,200,10,0.2,-12.583942189668281
0,0.3,quantile,15,200,10,0.3,-11.418513214059264
0,0.3,quantile,15,200,10,0.4,-10.435807137747227
0,0.3,quantile,15,200,10,0.5,-10.165069195299484
0,0.3,quantile,15,200,10,0.6,-10.353039556145854
0,0.3,quantile,15,200,10,0.7,-10.464743420247693
0,0.3,quantile,15,200,10,0.8,-11.0460388813941
0,0.3,quantile,15,200,10,0.9,-12.605064958491926
0,0.3,quantile,15,200,20,0.1,-14.006177012438656
0,0.3,quantile,15,200,20,0.2,-12.497055469721172
0,0.3,quantile,15,200,20,0.3,-11.262707743083517
0,0.3,quantile,15,200,20,0.4,-10.458950887074932
0,0.3,quantile,15,200,20,0.5,-10.253783369065435
0,0.3,quantile,15,200,20,0.6,-10.298151673891525
0,0.3,quantile,15,200,20,0.7,-10.362065480784128
0,0.3,quantile,15,200,20,0.8,-10.96684074086605
0,0.3,quantile,15,200,20,0.9,-12.83442376239763
0,0.3,quantile,15,200,30,0.1,-13.78438761913379
0,0.3,quantile,15,200,30,0.2,-12.397140726224546
0,0.3,quantile,15,200,30,0.3,-11.23643214458664
0,0.3,quantile,15,200,30,0.4,-10.581871595237086
0,0.3,quantile,15,200,30,0.5,-10.173409175839089
0,0.3,quantile,15,200,30,0.6,-10.301066649319022
0,0.3,quantile,15,200,30,0.7,-10.371267499459483
0,0.3,quantile,15,200,30,0.8,-10.938840335705377
0,0.3,quantile,15,200,30,0.9,-13.093821298642249
0,0.3,quantile,15,200,40,0.1,-13.590554235100171
0,0.3,quantile,15,200,40,0.2,-12.257393615494829
0,0.3,quantile,15,200,40,0.3,-11.217457510587435
0,0.3,quantile,15,200,40,0.4,-10.498601913000195
0,0.3,quantile,15,200,40,0.5,-10.320265360513844
0,0.3,quantile,15,200,40,0.6,-10.216720889879275
0,0.3,quantile,15,200,40,0.7,-10.399003405563816
0,0.3,quantile,15,200,40,0.8,-10.836605590905931
0,0.3,quantile,15,200,40,0.9,-13.05931701138174
0,0.3,quantile,15,200,50,0.1,-13.46891829861245
0,0.3,quantile,15,200,50,0.2,-12.219126953628512
0,0.3,quantile,15,200,50,0.3,-11.213966669512832
0,0.3,quantile,15,200,50,0.4,-10.582902022934753
0,0.3,quantile,15,200,50,0.5,-10.22885173255889
0,0.3,quantile,15,200,50,0.6,-10.117004363860223
0,0.3,quantile,15,200,50,0.7,-10.32693395078366
0,0.3,quantile,15,200,50,0.8,-10.912004134910159
0,0.3,quantile,15,200,50,0.9,-13.264632293670417
0,0.3,quantile,15,200,10,0.1,-14.0779382359998
0,0.3,quantile,15,200,10,0.2,-12.565911880391434
0,0.3,quantile,15,200,10,0.3,-11.338178989314589
0,0.3,quantile,15,200,10,0.4,-10.492204354284498
0,0.3,quantile,15,200,10,0.5,-10.243682776782633
0,0.3,quantile,15,200,10,0.6,-10.350761183094065
0,0.3,quantile,15,200,10,0.7,-10.650224392640249
0,0.3,quantile,15,200,10,0.8,-10.82497901898947
0,0.3,quantile,15,200,10,0.9,-12.495405835510327
0,0.3,quantile,15,200,20,0.1,-13.847391911430517
0,0.3,quantile,15,200,20,0.2,-12.390092638318093
0,0.3,quantile,15,200,20,0.3,-11.269982434149638
0,0.3,quantile,15,200,20,0.4,-10.460343989560073
0,0.3,quantile,15,200,20,0.5,-10.319654559192063
0,0.3,quantile,15,200,20,0.6,-10.227053537422119
0,0.3,quantile,15,200,20,0.7,-10.57332323634228
0,0.3,quantile,15,200,20,0.8,-11.084530926807698
0,0.3,quantile,15,200,20,0.9,-12.788378785919654
0,0.3,quantile,15,200,30,0.1,-13.646082293596976
0,0.3,quantile,15,200,30,0.2,-12.23330301271925
0,0.3,quantile,15,200,30,0.3,-11.222980145394779
0,0.3,quantile,15,200,30,0.4,-10.535482340468485
0,0.3,quantile,15,200,30,0.5,-10.169717210268951
0,0.3,quantile,15,200,30,0.6,-10.31668967129082
0,0.3,quantile,15,200,30,0.7,-10.276694914082956
0,0.3,quantile,15,200,30,0.8,-10.940905841776914
0,0.3,quantile,15,200,30,0.9,-12.912132945797481
0,0.3,quantile,15,200,40,0.1,-13.521175410051248
0,0.3,quantile,15,200,40,0.2,-12.137406228787947
0,0.3,quantile,15,200,40,0.3,-11.09411369418209
0,0.3,quantile,15,200,40,0.4,-10.428007551253506
0,0.3,quantile,15,200,40,0.5,-10.350143877816787
0,0.3,quantile,15,200,40,0.6,-10.280689006345435
0,0.3,quantile,15,200,40,0.7,-10.407857298670015
0,0.3,quantile,15,200,40,0.8,-10.941920835680037
0,0.3,quantile,15,200,40,0.9,-13.052203735181394
0,0.3,quantile,15,200,50,0.1,-13.438231605239542
0,0.3,quantile,15,200,50,0.2,-12.03744205517942
0,0.3,quantile,15,200,50,0.3,-11.037829416732563
0,0.3,quantile,15,200,50,0.4,-10.586633728617933
0,0.3,quantile,15,200,50,0.5,-10.33238881796157
0,0.3,quantile,15,200,50,0.6,-10.103437448279795
0,0.3,quantile,15,200,50,0.7,-10.358116848141666
0,0.3,quantile,15,200,50,0.8,-10.961086908270605
0,0.3,quantile,15,200,50,0.9,-13.197461366525676
0,0.3,quantile,15,200,10,0.1,-13.881589735622796
0,0.3,quantile,15,200,10,0.2,-12.465022646312212
0,0.3,quantile,15,200,10,0.3,-11.269343426515887
0,0.3,quantile,15,200,10,0.4,-10.598706049385926
0,0.3,quantile,15,200,10,0.5,-10.15230398793014
0,0.3,quantile,15,200,10,0.6,-10.337724182214503
0,0.3,quantile,15,200,10,0.7,-10.464754331153063
0,0.3,quantile,15,200,10,0.8,-10.831643249817892
0,0.3,quantile,15,200,10,0.9,-12.417907266340155
0,0.3,quantile,15,200,20,0.1,-13.557101783722871
0,0.3,quantile,15,200,20,0.2,-12.165830510290624
0,0.3,quantile,15,200,20,0.3,-11.131212318847053
0,0.3,quantile,15,200,20,0.4,-10.502238044977414
0,0.3,quantile,15,200,20,0.5,-10.260504114213505
